ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-16,89992.3169628545,84079.58838152188,97273.05703549851,89992.3169628545,89992.3169628545,447.2722929283732,447.2722929283732,447.2722929283732,447.2722929283732,447.2722929283732,447.2722929283732,0.0,0.0,0.0,90439.58925578288
2025-04-17,90326.98788343399,84144.20907221026,96252.68164625495,90326.98788343399,90326.98788343399,73.85501037413836,73.85501037413836,73.85501037413836,73.85501037413836,73.85501037413836,73.85501037413836,0.0,0.0,0.0,90400.84289380813
2025-04-18,90661.65880401347,84411.03950882897,97270.5087949588,90661.65880401347,90661.65880401347,76.38119446637704,76.38119446637704,76.38119446637704,76.38119446637704,76.38119446637704,76.38119446637704,0.0,0.0,0.0,90738.03999847984
2025-04-19,90996.32972459294,84287.0239597712,96614.91094228158,90996.32972459294,90996.32972459294,-448.2631358815787,-448.2631358815787,-448.2631358815787,-448.2631358815787,-448.2631358815787,-448.2631358815787,0.0,0.0,0.0,90548.06658871136
2025-04-20,91331.00064517242,84734.99638927012,97432.68207692329,91331.00064517242,91331.00064517242,-209.42482426376392,-209.42482426376392,-209.42482426376392,-209.42482426376392,-209.42482426376392,-209.42482426376392,0.0,0.0,0.0,91121.57582090865
2025-04-21,91665.67156998099,85214.87031150959,97939.25211920634,91665.67156998099,91665.67156998099,19.775389290067032,19.775389290067032,19.775389290067032,19.775389290067032,19.775389290067032,19.775389290067032,0.0,0.0,0.0,91685.44695927105
2025-04-23,92335.01341959811,86186.51180550629,98890.85198583262,92335.01341959811,92335.01341959811,447.2722929280209,447.2722929280209,447.2722929280209,447.2722929280209,447.2722929280209,447.2722929280209,0.0,0.0,0.0,92782.28571252614
2025-04-24,92669.68434440668,86872.43397498762,99126.00103118454,92669.68434440668,92669.68434440668,73.8550103739872,73.8550103739872,73.8550103739872,73.8550103739872,73.8550103739872,73.8550103739872,0.0,0.0,0.0,92743.53935478066
2025-04-25,93004.35526921524,86787.7414170186,99034.67052489298,93004.35526921524,93004.35526921524,76.38119446597274,76.38119446597274,76.38119446597274,76.38119446597274,76.38119446597274,76.38119446597274,0.0,0.0,0.0,93080.73646368121
2025-04-26,93339.02619402381,86706.47026385958,99311.49754611618,93339.02619402381,93339.02619402381,-448.26313588240845,-448.26313588240845,-448.26313588240845,-448.26313588240845,-448.26313588240845,-448.26313588240845,0.0,0.0,0.0,92890.7630581414
2025-04-27,93673.69711883237,87339.08612949499,99843.83308252,93673.69711883237,93673.69711883237,-209.4248242647711,-209.4248242647711,-209.4248242647711,-209.4248242647711,-209.4248242647711,-209.4248242647711,0.0,0.0,0.0,93464.27229456759
2025-04-28,94008.36804364093,87522.68842183115,100320.93753000839,94008.36804364093,94008.36804364093,19.77538928926036,19.77538928926036,19.77538928926036,19.77538928926036,19.77538928926036,19.77538928926036,0.0,0.0,0.0,94028.1434329302
2025-04-29,94343.0389684495,88097.29940557612,100320.13271053316,94343.0389684495,94343.0389684495,40.40407308651095,40.40407308651095,40.40407308651095,40.40407308651095,40.40407308651095,40.40407308651095,0.0,0.0,0.0,94383.44304153601
2025-04-30,94677.70989325806,88948.98131149936,101066.8764891235,94677.70989325806,94677.70989325806,447.27229292876035,447.27229292876035,447.27229292876035,447.27229292876035,447.27229292876035,447.27229292876035,0.0,0.0,0.0,95124.98218618681
2025-05-01,95012.38081806662,88538.4649884748,101290.16246311391,95012.38081806662,95012.38081806662,73.85501037383615,73.85501037383615,73.85501037383615,73.85501037383615,73.85501037383615,73.85501037383615,0.0,0.0,0.0,95086.23582844046
2025-05-02,95347.05171838192,89203.57829784176,101572.43729412674,95347.05171838192,95347.05171838192,76.38119446612305,76.38119446612305,76.38119446612305,76.38119446612305,76.38119446612305,76.38119446612305,0.0,0.0,0.0,95423.43291284805
2025-05-03,95681.7226186972,88694.97186248189,101253.64068024866,95681.7226186972,95681.7226186972,-448.2631358809095,-448.2631358809095,-448.2631358809095,-448.2631358809095,-448.2631358809095,-448.2631358809095,0.0,0.0,0.0,95233.45948281628
2025-05-04,96016.39351901249,89903.19353205242,101799.02575110983,96016.39351901249,96016.39351901249,-209.42482426365436,-209.42482426365436,-209.42482426365436,-209.42482426365436,-209.42482426365436,-209.42482426365436,0.0,0.0,0.0,95806.96869474884
2025-05-05,96351.06441932778,90075.16547759162,102623.76895044922,96351.06441932778,96351.06441932778,19.775389289689038,19.775389289689038,19.775389289689038,19.775389289689038,19.775389289689038,19.775389289689038,0.0,0.0,0.0,96370.83980861747
