open_time,open,high,low,close,volume_coin,volume_usd,num_trades,close_time
2025-08-08 00:00:00+00:00,117472.02,117630.0,115878.71,116674.74,10045.31278,1172199778.7242546,2095304,2025-08-08 23:59:59.999000+00:00
2025-08-09 00:00:00+00:00,116674.74,117944.05,116299.13,116462.25,9514.13144,1111837601.7023723,1390951,2025-08-09 23:59:59.999000+00:00
2025-08-10 00:00:00+00:00,116462.25,119311.11,116460.63,119294.01,14322.77073,1694198747.8718708,2317065,2025-08-10 23:59:59.999000+00:00
2025-08-11 00:00:00+00:00,119294.27,122335.16,118050.11,118686.0,26494.33429,3194611530.5410695,4021743,2025-08-11 23:59:59.999000+00:00
2025-08-12 00:00:00+00:00,118686.0,120324.43,118207.47,120134.08,16720.10893,1992762473.5852578,2737841,2025-08-12 23:59:59.999000+00:00
2025-08-13 00:00:00+00:00,120134.09,123667.79,118920.92,123306.43,23210.07102,2811581348.3874574,3712817,2025-08-13 23:59:59.999000+00:00
2025-08-14 00:00:00+00:00,123306.44,124474.0,117180.0,118295.09,27980.947586,3359128391.108524,4350449,2025-08-14 23:59:59.999000+00:00
2025-08-15 00:00:00+00:00,118295.09,119216.82,116803.99,117342.05,13623.33874,1607609329.685101,2895016,2025-08-15 23:59:59.999000+00:00
2025-08-16 00:00:00+00:00,117342.04,117898.99,117143.98,117380.66,6393.68117,751719391.7723638,1179842,2025-08-16 23:59:59.999000+00:00
2025-08-17 00:00:00+00:00,117380.66,118575.0,117172.21,117405.01,5898.64192,695629197.9038073,1177563,2025-08-17 23:59:59.999000+00:00
2025-08-18 00:00:00+00:00,117405.01,117543.75,114640.14,116227.05,17745.93954,2053814085.4717774,3346280,2025-08-18 23:59:59.999000+00:00
2025-08-19 00:00:00+00:00,116227.05,116725.69,112732.58,112872.94,18065.47424,2065010895.8584664,3291182,2025-08-19 23:59:59.999000+00:00
2025-08-20 00:00:00+00:00,112872.95,114615.38,112380.0,114271.24,15636.34194,1776149566.1247735,2998370,2025-08-20 23:59:59.999000+00:00
2025-08-21 00:00:00+00:00,114271.23,114821.76,112015.67,112500.0,10839.69235,1227373788.615563,2357380,2025-08-21 23:59:59.999000+00:00
2025-08-22 00:00:00+00:00,112500.0,117429.05,111684.79,116935.99,23128.09037,2656625122.2777867,3438518,2025-08-22 23:59:59.999000+00:00
2025-08-23 00:00:00+00:00,116936.0,117030.0,114560.0,115438.05,11329.36197,1308825428.0143585,1559569,2025-08-23 23:59:59.999000+00:00
2025-08-24 00:00:00+00:00,115438.06,115666.68,110680.0,113493.59,21175.98462,2411284606.1891766,2573906,2025-08-24 23:59:59.999000+00:00
2025-08-25 00:00:00+00:00,113493.59,113667.28,109274.1,110111.98,25182.79379,2805570653.631023,4695718,2025-08-25 23:59:59.999000+00:00
2025-08-26 00:00:00+00:00,110111.98,112371.0,108666.66,111763.22,18452.43877,2033437347.4999392,4077474,2025-08-26 23:59:59.999000+00:00
2025-08-27 00:00:00+00:00,111763.22,112625.0,110345.42,111262.01,13392.60875,1493774927.190832,3111496,2025-08-27 23:59:59.999000+00:00
2025-08-28 00:00:00+00:00,111262.01,113485.9,110862.42,112566.9,11104.27744,1250788481.9453218,2066780,2025-08-28 23:59:59.999000+00:00
2025-08-29 00:00:00+00:00,112566.9,112638.64,107463.9,108377.4,22580.31045,2475492492.57753,3606959,2025-08-29 23:59:59.999000+00:00
2025-08-30 00:00:00+00:00,108377.4,108926.15,107350.1,108816.33,10708.39159,1160666772.7387524,1411040,2025-08-30 23:59:59.999000+00:00
2025-08-31 00:00:00+00:00,108816.33,109480.02,108076.93,108246.35,9489.51596,1031806894.3513318,1366633,2025-08-31 23:59:59.999000+00:00
2025-09-01 00:00:00+00:00,108246.36,109912.4,107255.0,109237.42,16053.60219,1742516638.781135,2729384,2025-09-01 23:59:59.999000+00:00
